crystalline_polished,,crystalline_nonpolished,,amorphous,,crystalline_coated,,crystalline_coated2,,crystalline_pyramid,,crystalline_black,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
1872,77.21561432,1872,75.04879761,1872,38.83878708,1872,36.4756546,1872,26.1451931,1872,23.33172226,1872,61.43979263,
1871,77.09785461,1871,75.07111359,1871,39.06404495,1871,36.45430374,1871,25.84531975,1871,23.39932442,1871,61.29738617,
1870,77.18828583,1870,74.90220642,1870,39.47540665,1870,36.53485107,1870,26.03427696,1870,23.12026978,1870,61.40781784,
1869,77.14987946,1869,74.78837585,1869,39.8556633,1869,36.35462189,1869,25.87558365,1869,23.38639069,1869,61.40194702,
1868,76.95294952,1868,74.8249054,1868,40.22540283,1868,36.6193428,1868,26.01335716,1868,23.32647324,1868,61.24073792,
1867,77.21914673,1867,74.72454071,1867,40.70412445,1867,36.391922,1867,25.85087776,1867,23.40639114,1867,61.41905212,
1866,77.03327179,1866,74.83594513,1866,41.0310936,1866,36.53966522,1866,25.93361092,1866,23.25839424,1866,61.2346344,
1865,77.09780884,1865,74.74623108,1865,41.50345993,1865,36.61275101,1865,25.99140358,1865,23.27919769,1865,61.29339218,
1864,77.0003891,1864,74.85160065,1864,42.02682877,1864,36.46757126,1864,25.85994339,1864,23.36648369,1864,61.12078857,
1863,77.17919159,1863,74.79862976,1863,42.42047119,1863,36.26836014,1863,25.85098076,1863,23.22554779,1863,61.33832932,
1862,77.12014008,1862,74.87982178,1862,43.04843903,1862,36.43294144,1862,25.97469711,1862,23.33764076,1862,61.26214218,
1861,77.07417297,1861,74.76721191,1861,43.58380508,1861,36.33777618,1861,25.92276001,1861,23.25812531,1861,61.29803085,
1860,77.33022308,1860,74.86929321,1860,44.12944412,1860,36.53771591,1860,26.01614571,1860,23.4784565,1860,61.57613373,
1859,76.92243195,1859,74.71025848,1859,44.38217545,1859,36.31400299,1859,25.77554893,1859,23.34641075,1859,61.1860733,
1858,77.17281342,1858,74.91562653,1858,45.11078262,1858,36.44150925,1858,25.95106125,1858,23.5275898,1858,61.2617836,
1857,77.09794617,1857,74.84107208,1857,45.46696091,1857,36.5766716,1857,25.97607422,1857,23.28699303,1857,61.32323074,
1856,77.22689056,1856,75.0326767,1856,46.13890076,1856,36.52669907,1856,26.10239983,1856,23.48739433,1856,61.41469574,
1855,77.12866211,1855,74.65260315,1855,46.57906342,1855,36.4195137,1855,25.88200569,1855,23.33011436,1855,61.23858643,
1854,77.14041901,1854,74.75550079,1854,47.19245529,1854,36.48418045,1854,25.90880394,1854,23.40427017,1854,61.16055298,
1853,77.05565643,1853,74.86865997,1853,47.71977234,1853,36.41155624,1853,25.86972809,1853,23.47421837,1853,61.20829773,
1852,77.28760529,1852,74.88444519,1852,48.31714249,1852,36.43424988,1852,25.92219353,1852,23.46157646,1852,61.09815216,
1851,77.05667877,1851,74.80122375,1851,48.79734039,1851,36.33707047,1851,26.08823204,1851,23.35087395,1851,61.13622665,
1850,77.4070282,1850,74.98953247,1850,49.40275955,1850,36.57074738,1850,26.07101822,1850,23.57297325,1850,61.10727692,
1849,77.01722717,1849,74.84026337,1849,49.83514404,1849,36.57659912,1849,25.93035316,1849,23.32357597,1849,61.03805923,
1848,77.021698,1848,74.93643188,1848,50.53922653,1848,36.48630524,1848,25.8625145,1848,23.46122932,1848,60.93342209,
1847,77.06903076,1847,74.80827332,1847,51.02368546,1847,36.51435852,1847,25.99927521,1847,23.36986351,1847,60.93795395,
1846,77.09371948,1846,74.65851593,1846,51.77444077,1846,36.42250443,1846,25.99118614,1846,23.60819626,1846,60.7194252,
1845,77.12586212,1845,74.77981567,1845,52.14322662,1845,36.50121689,1845,25.93705368,1845,23.59311104,1845,60.87239456,
1844,77.23570251,1844,74.81063843,1844,53.03539658,1844,36.52209473,1844,25.91885567,1844,23.4121685,1844,60.88278961,
1843,77.21942139,1843,74.94535065,1843,53.61829376,1843,36.49326706,1843,25.95251846,1843,23.54173279,1843,60.79119492,
1842,77.09412384,1842,74.69418335,1842,54.15460968,1842,36.37274551,1842,25.9444809,1842,23.46460724,1842,60.68183899,
1841,77.10847473,1841,74.8513031,1841,54.68419647,1841,36.42253876,1841,25.91989708,1841,23.40214157,1841,60.6981926,
1840,77.0539093,1840,74.76763916,1840,55.37947845,1840,36.43841934,1840,25.99705696,1840,23.42564392,1840,60.52581024,
1839,77.06916809,1839,74.71083069,1839,55.8794632,1839,36.42253113,1839,25.8395462,1839,23.57356071,1839,60.54184341,
1838,76.89493561,1838,74.76410675,1838,56.66021729,1838,36.32716751,1838,25.97437286,1838,23.45355225,1838,60.4379425,
1837,77.16551971,1837,74.74253845,1837,57.27649307,1837,36.24590302,1837,25.90302467,1837,23.57869148,1837,60.39657593,
1836,77.16527557,1836,74.85227203,1836,57.85640335,1836,36.20239639,1836,25.9065361,1836,23.38697815,1836,60.3922081,
1835,77.14951324,1835,74.94761658,1835,58.49494934,1835,36.31478119,1835,26.01239967,1835,23.46990204,1835,60.28866577,
1834,77.10369873,1834,74.758255,1834,59.08605957,1834,36.45027542,1834,25.96943092,1834,23.41964722,1834,60.25255203,
1833,77.27357483,1833,74.90892792,1833,59.68924713,1833,36.37252045,1833,25.96989632,1833,23.43358421,1833,60.33391953,
1832,77.10009766,1832,74.73479462,1832,60.3625946,1832,36.42710876,1832,25.85856247,1832,23.47117233,1832,60.31731796,
1831,77.18442535,1831,74.92525482,1831,60.91255951,1831,36.28526306,1831,25.8966713,1831,23.54259109,1831,60.30731964,
1830,77.0306015,1830,74.83940125,1830,61.47309494,1830,36.4019165,1830,25.89468002,1830,23.47062111,1830,60.05999374,
1829,77.23436737,1829,74.83292389,1829,61.87770844,1829,36.30809021,1829,25.94033432,1829,23.40364838,1829,60.23225784,
1828,77.17481232,1828,74.7614212,1828,62.57823181,1828,36.35743713,1828,25.78006172,1828,23.4289875,1828,60.07717133,
1827,77.12081909,1827,74.9098587,1827,63.01494217,1827,36.36811829,1827,26.00615311,1827,23.45523643,1827,60.11418152,
1826,77.21090698,1826,74.78176117,1826,63.63286209,1826,36.32397461,1826,25.87726402,1826,23.51986694,1826,60.06138992,
1825,77.17883301,1825,74.80220032,1825,64.21966553,1825,36.25378418,1825,25.95859146,1825,23.40216064,1825,59.95022202,
1824,77.1918335,1824,74.73126221,1824,64.64233398,1824,36.3703537,1824,25.88415527,1824,23.51676369,1824,59.9777298,
1823,77.0660553,1823,74.69628906,1823,65.05561829,1823,36.25646973,1823,25.87117767,1823,23.50313759,1823,59.86583328,
1822,77.14911652,1822,74.85500336,1822,65.68728638,1822,36.48483276,1822,25.8055687,1822,23.47406769,1822,59.86278152,
1821,77.20122528,1821,74.92240906,1821,66.07780457,1821,36.40962601,1821,25.87237358,1821,23.44911385,1821,59.8721199,
1820,77.16794586,1820,74.78074646,1820,66.51066589,1820,36.23041534,1820,25.87800026,1820,23.51328087,1820,59.79337692,
1819,77.05931854,1819,74.74268341,1819,67.08435059,1819,36.39731598,1819,25.81111717,1819,23.51328659,1819,59.78176498,
1818,77.16841125,1818,74.83990479,1818,67.532341,1818,36.29996109,1818,25.87118721,1818,23.53553391,1818,59.71788788,
1817,77.09204865,1817,74.76527405,1817,67.83541107,1817,36.39096451,1817,25.81431007,1817,23.58889961,1817,59.78796005,
1816,77.13804626,1816,74.81481934,1816,68.41416931,1816,36.3908577,1816,25.89660835,1816,23.50060654,1816,59.91230774,
1815,77.15842438,1815,74.95198059,1815,68.94698334,1815,36.42890549,1815,25.96364594,1815,23.55457497,1815,59.86039734,
1814,77.09300995,1814,74.85311127,1814,69.31742096,1814,36.35202026,1814,25.75965309,1814,23.56494522,1814,59.67042542,
1813,77.21782684,1813,74.89408875,1813,69.82930756,1813,36.4365387,1813,25.85836983,1813,23.52046204,1813,59.81587601,
1812,77.11969757,1812,74.76474762,1812,70.08388519,1812,36.43243408,1812,25.81407356,1812,23.49872589,1812,59.69113159,
1811,77.27380371,1811,74.7909317,1811,70.66218567,1811,36.41234207,1811,25.89241028,1811,23.44290733,1811,59.79085541,
1810,77.17156982,1810,74.8190155,1810,70.97838593,1810,36.45729828,1810,25.86799812,1810,23.45087624,1810,59.76532745,
1809,77.18405914,1809,74.87722778,1809,71.32521057,1809,36.48642731,1809,25.853405,1809,23.57349586,1809,59.78321838,
1808,77.22566986,1808,74.86347198,1808,71.77294159,1808,36.39025116,1808,25.76888847,1808,23.56341553,1808,59.79229736,
1807,77.28219604,1807,74.88580322,1807,72.18357086,1807,36.49304581,1807,25.88051224,1807,23.46500778,1807,59.82553864,
1806,77.12714386,1806,74.83238983,1806,72.57115936,1806,36.42855072,1806,25.81518936,1806,23.55355072,1806,59.76419449,
1805,77.23600769,1805,74.8349762,1805,72.98609924,1805,36.46223068,1805,25.9432373,1805,23.50748253,1805,59.80095291,
1804,77.15385437,1804,74.85971832,1804,73.30493927,1804,36.49214935,1804,25.86072922,1804,23.65193558,1804,59.76753235,
1803,77.17134857,1803,74.73868561,1803,73.58958435,1803,36.42808533,1803,25.85460854,1803,23.45661545,1803,59.6785202,
1802,77.15307617,1802,74.88812256,1802,73.99755096,1802,36.4849968,1802,25.79265594,1802,23.63692665,1802,59.70711136,
